ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year
SOAD04214,Navaldia,Yes,Recreation,Earth,7.764,0.227,,1963.0,,0.0591,2.66329,,26/10/2017,2.0,,Significant,Fair,,0.1647,36.9,424.1,3.9,7.764,0.227,0,,1,,0.0,
SOAD04624,Lyndrassia,No,Recreation,Earth,8.823,,0.0,,,0.05122,263.66571,,,0.0,9.27,Low,Not Rated,,0.0748,28.2,352.6,5.5,8.823,,1,,1,,0.0,
SOAD04705,Lyndrassia,No,Grade Stabilization,Earth,11.871,0.113,14839.0,1977.0,,0.06107,1480.78924,Uncontrolled,,0.0,,Low,Not Rated,,0.1157,13.5,11.8,,11.871,0.113,0,14839.0,0,9.605081516721372,0.0,
SOAD04995,Navaldia,Yes,Flood Risk Reduction,Earth,11.394,0.363,,1965.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0762,17.3,8.4,,11.394,0.363,0,,1,,0.0,
SOAD05618,Flumevale,Yes,Debris Control,Earth,34.609,0.156,214800.0,1978.0,,0.04334,26.6329,,20/04/2022,1.0,1.56,High,Satisfactory,01/09/2017,0.1041,25.5,613.3,,34.609,0.156,0,214800.0,0,12.277467297099491,0.0,
SOAD06308,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.486,,0.0,1974.0,,0.08077,1049.33626,,,0.0,3.12,Low,Not Rated,,0.1007,14.0,404.8,,5.486,,1,,1,,0.0,
SOAD06323,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.061,0.212,13942.0,1967.0,,0.05713,0.0,,,,,Low,Not Rated,18/06/2014,0.073,46.3,13.2,,6.061,0.212,0,13942.0,0,9.54273286919502,0.0,
SOAD06371,Flumevale,Yes,Irrigation,Earth,4.868,0.2,15902.0,1961.0,,0.03152,0.0,,27/07/1979,6.0,36.86,Low,Fair,29/10/2020,0.0726,35.5,205.4,26.6,4.868,0.2,0,15902.0,0,9.674263049655917,0.0,
SOAD06511,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.523,0.033,,1950.0,,,15.97974,Uncontrolled,,,34.66,Low,,,0.1023,12.9,64.8,,6.523,0.033,0,,1,,0.0,
SOAD06521,Navaldia,No,Irrigation,Earth,2.843,1.6,,1946.0,,0.2167,0.0,,,,,Low,Not Rated,18/06/2014,0.1115,25.2,22.2,35.4,2.843,1.6,0,,1,,0.0,
SOAD06526,Flumevale,Yes,Irrigation,Earth,4.344,0.2,10657.0,1900.0,,0.11032,13.31645,,26/09/2013,6.0,6.18,Low,Satisfactory,03/04/2019,0.0492,43.3,243.2,39.1,4.344,0.2,0,10657.0,0,9.274066062856727,0.0,
SOAD06674,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.219,0.092,,1953.0,,,21.30632,Uncontrolled,,,42.03,Low,,,0.0937,14.8,114.2,,6.219,0.092,0,,1,,0.0,
SOAD06956,Lyndrassia,No,Recreation,Earth,10.388,,0.0,1974.0,,0.04137,292.9619,,,0.0,28.69,Low,Not Rated,,0.1108,35.1,173.4,6.3,10.388,,1,,1,,0.0,
SOAD07173,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.024,0.1,,1940.0,,,13.31645,,,,6.15,Low,,,0.057,13.3,178.4,,4.024,0.1,0,,1,,0.0,
SOAD08094,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.85,0.192,,1942.0,,,,,,,27.64,Low,,,0.1174,7.1,338.3,,8.85,0.192,0,,1,,0.0,
SOAD08418,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.191,0.133,,1956.0,,,,,,,111.31,Low,,,0.0854,8.7,215.7,,5.191,0.133,0,,1,,0.0,
SOAD08439,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.484,0.12,,1939.0,,,,,,,44.1,Low,,,0.0909,4.8,54.4,,7.484,0.12,0,,1,,0.0,
SOAD08472,Navaldia,Yes,Unknow,Earth,10.067,0.189,14500.0,1974.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0731,6.5,20.6,,10.067,0.189,0,14500.0,0,9.581972891547895,0.0,
SOAD08549,Lyndrassia,No,Recreation,Earth,9.092,,0.0,1976.0,,0.05319,4330.50954,,,0.0,0.0,Low,Not Rated,,0.081,46.7,447.9,8.6,9.092,,1,,1,,0.0,
SOAD08835,Flumevale,Yes,Water Supply,Earth,12.337,0.3,52000.0,1986.0,,0.0925899999999999,,,23/03/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0852,15.2,660.3,57.2,12.337,0.3,0,52000.0,0,10.859018228147887,0.0,
SOAD08889,Lyndrassia,No,Irrigation,Earth,8.795,,0.0,1956.0,,0.05122,500.69852,,,0.0,0.0,Low,Not Rated,,0.0565,33.2,415.1,8.3,8.795,,1,,1,,0.0,
SOAD08904,Lyndrassia,No,Flood Risk Reduction,Earth,10.872,0.137,12749.0,1990.0,,0.43143,20720.3962,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.0655,604.2,18.0,,10.872,0.137,0,12749.0,0,9.453286550586572,0.0,
SOAD09010,Lyndrassia,Yes,Irrigation,Earth,8.966,0.12,,1957.0,,,42.61264,,,,21.75,Low,,,0.0934,15.3,192.4,12.4,8.966,0.12,0,,1,,0.0,
SOAD09890,Lyndrassia,No,Recreation,Earth,9.023,,0.0,1972.0,,0.04925,860.24267,,,0.0,15.66,Low,Not Rated,,0.1095,11.3,103.8,7.3,9.023,,1,,1,,0.0,
SOAD09938,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.357,,0.0,1958.0,,0.05122,1145.2147,,,0.0,39.02,Low,Not Rated,,0.0854,36.0,228.5,,8.357,,1,,1,,0.0,
SOAD10506,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.38,0.133,,1960.0,,,,,,,54.21,Low,,,0.089,18.7,204.9,,6.38,0.133,0,,1,,0.0,
SOAD10599,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.483,,0.0,1955.0,,0.04334,862.9059599999999,,26/09/1978,0.0,16.19,High,Not Rated,,0.1052,37.8,159.9,,9.483,,1,,1,,0.0,
SOAD10963,Flumevale,Yes,Water Supply,Earth,8.898,0.133,0.0,1983.0,,0.04925,,,07/03/2023,1.0,,Significant,Fair,01/09/2017,0.1353,46.6,201.6,69.9,8.898,0.133,0,,1,,0.0,
SOAD10970,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.891,0.067,,1955.0,,,10.65316,Uncontrolled,,,0.0,Low,,,0.0688,15.7,801.6,,7.891,0.067,0,,1,,0.0,
SOAD12078,Navaldia,No,Recreation,Earth,4.998,0.14,,1969.0,,0.0,0.0,,20/07/1988,,,Low,Not Rated,18/06/2014,0.0976,19.4,8.7,5.4,4.998,0.14,0,,1,,0.0,
SOAD12087,Lyndrassia,Yes,Irrigation,Earth,10.098,0.008,,1952.0,,,50.60251,,,,33.93,Low,,,0.1127,17.1,212.9,11.7,10.098,0.008,0,,1,,0.0,
SOAD12142,Navaldia,Yes,Recreation,Earth,4.078,0.351,,,2001H;2001S,0.20488,2.66329,Uncontrolled,23/11/2020,1.0,,High,Satisfactory,,0.0991,43.3,651.6,4.2,4.078,0.351,0,,1,,2.0,2001.0
SOAD12865,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.063,0.145,,1965.0,,,,,,,35.09,Low,,,0.1332,7.0,174.1,,7.063,0.145,0,,1,,0.0,
SOAD12950,Flumevale,Yes,Other,Earth,5.263,1.097,33339.0,1934.0,,0.10441,45.27593,,05/01/2022,1.0,0.63,High,Satisfactory,01/09/2017,0.0931,18.8,388.5,,5.263,1.097,0,33339.0,0,10.414513156304785,0.0,
SOAD13155,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.42,0.075,,1957.0,,,,,,,19.37,Low,,,0.0698,20.3,227.9,,5.42,0.075,0,,1,,0.0,
SOAD13193,Lyndrassia,No,Flood Risk Reduction,Earth,12.637,0.136,19649.0,2004.0,,0.10441,1150.54128,Uncontrolled,30/06/2004,0.0,,Low,Not Rated,,0.0923,30.4,18.8,,12.637,0.136,0,19649.0,0,9.885832617297407,0.0,
SOAD13256,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.717,0.367,,1979.0,,0.10441,0.0,,,,,Low,Not Rated,18/06/2014,0.1009,21.7,10.7,,2.717,0.367,0,,1,,0.0,
SOAD13454,Navaldia,Yes,Recreation,Earth,2.89,,,,,0.04334,5.32658,,04/06/2019,5.0,,Low,Fair,,0.0391,25.1,8.6,7.5,2.89,,1,,1,,0.0,
SOAD13550,Lyndrassia,No,Grade Stabilization,Earth,12.072,0.225,26191.0,1966.0,,0.02561,788.33384,Uncontrolled,26/04/2016,0.0,,Low,Not Rated,,0.0784,41.5,20.2,,12.072,0.225,0,26191.0,0,10.173209299610916,0.0,
SOAD13561,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.057,0.1,,1957.0,,,,,,,46.53,Low,,,0.0721,11.3,201.4,,8.057,0.1,0,,1,,0.0,
SOAD13621,Lyndrassia,Yes,Recreation,Earth,15.415,0.067,25000.0,1977.0,1996,0.05713,2.66329,Uncontrolled,21/04/2022,3.0,3.67,High,Satisfactory,13/02/2009,0.0764,42.1,522.6,3.1,15.415,0.067,0,25000.0,0,10.12667110305036,1.0,1996.0
SOAD14092,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.714,0.098,,1970.0,,,7.98987,Uncontrolled,,,41.43,Low,,,0.1094,6.5,148.2,,6.714,0.098,0,,1,,0.0,
SOAD14136,Navaldia,No,Irrigation,Earth,6.671,0.182,,1969.0,,0.0,0.0,,25/04/1977,,,Low,Not Rated,18/06/2014,0.1047,38.1,18.1,1.8,6.671,0.182,0,,1,,0.0,
SOAD14295,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.39,0.07,,1953.0,,,,,,,67.3,Low,,,0.0874,8.2,127.3,,4.39,0.07,0,,1,,0.0,
SOAD14781,Lyndrassia,No,Recreation,Earth,8.466,,0.0,,,0.05319,532.658,,,0.0,0.0,Low,Not Rated,,0.119,23.2,949.6,5.9,8.466,,1,,1,,0.0,
SOAD14983,Lyndrassia,No,Irrigation,Earth,3.171,0.042,0.0,1920.0,,0.0,0.0,,,0.0,33.77,Low,Not Available,,0.0954,11.9,75.9,31.6,3.171,0.042,0,,1,,0.0,
SOAD15044,Navaldia,No,Irrigation,Earth,5.288,0.0,,1986.0,,0.05122,10.65316,,,,,Low,Not Rated,18/06/2014,0.0851,35.1,16.1,7.6,5.288,,1,,1,,0.0,
SOAD15661,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.463,0.2,,1979.0,,,,,,,34.74,Low,,,0.1082,15.0,216.7,,5.463,0.2,0,,1,,0.0,
SOAD15847,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.704,0.133,8000.0,1975.0,,0.01576,268.99229,Uncontrolled,,0.0,,Low,Not Rated,,0.0752,32.0,17.9,,8.704,0.133,0,8000.0,0,8.987321812850125,0.0,
SOAD16060,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.155,,0.0,1963.0,,0.05713,844.26293,,24/08/1979,0.0,1.56,High,Not Rated,,0.1502,13.2,851.7,,7.155,,1,,1,,0.0,
SOAD16136,Lyndrassia,No,Recreation,Earth,8.345,,0.0,1977.0,,0.04925,356.88086,,,0.0,1.69,Low,Not Rated,,0.0852,13.9,384.2,8.0,8.345,,1,,1,,0.0,
SOAD16141,Navaldia,Yes,Recreation,Earth,8.254,0.094,,1939.0,,0.05122,7.98987,,19/10/2017,2.0,,Significant,Fair,,0.1394,6.6,147.1,3.7,8.254,0.094,0,,1,,0.0,
SOAD16165,Lyndrassia,Yes,Irrigation,Earth,3.378,0.167,,1960.0,,,,,,,16.78,Low,,,0.0909,10.9,420.2,25.9,3.378,0.167,0,,1,,0.0,
SOAD16695,Lyndrassia,No,Recreation,Earth,8.591,,0.0,1975.0,,0.04925,415.47324,,,0.0,25.21,High,Not Rated,,0.1038,28.8,245.8,4.9,8.591,,1,,1,,0.0,
SOAD16715,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,12.333,0.154,18144.0,1994.0,,0.01773,143.81766,Uncontrolled,,0.0,,Low,Not Rated,,0.1082,41.6,18.3,,12.333,0.154,0,18144.0,0,9.806150319647172,0.0,
SOAD16953,Navaldia,No,Other,Earth,3.62,0.2,,1967.0,,0.10441,0.0,,,,,Low,Not Rated,18/06/2014,0.1232,33.4,7.6,,3.62,0.2,0,,1,,0.0,
SOAD17513,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.443,0.092,,1944.0,,,,,,,66.53,Low,,,0.0986,13.1,191.9,,6.443,0.092,0,,1,,0.0,
SOAD18039,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.141,0.125,,1960.0,,,7.98987,Uncontrolled,,,74.45,Low,,,0.1124,23.0,152.4,,7.141,0.125,0,,1,,0.0,
SOAD18257,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.67,0.152,,1989.0,,0.0,0.0,,26/05/1989,,,Low,Not Rated,18/06/2014,0.0753,35.6,9.9,,4.67,0.152,0,,1,,0.0,
SOAD18580,Lyndrassia,No,Recreation,Earth,8.614,,0.0,1965.0,,0.04925,1129.23496,,,0.0,21.5,Low,Not Rated,,0.0737,44.7,284.1,7.9,8.614,,1,,1,,0.0,
SOAD19429,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.989,0.067,,1945.0,,,,,,,93.1,Low,,,0.0677,14.8,180.7,,10.989,0.067,0,,1,,0.0,
SOAD19739,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.722,0.105,15700.0,1966.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0896,15.9,5.0,,8.722,0.105,0,15700.0,0,9.661479683575521,0.0,
SOAD20121,Navaldia,Yes,Recreation,Earth,5.891,0.308,,1957.0,,0.08668,0.0,,,,,Low,Not Rated,18/06/2014,0.0937,7.0,16.9,8.2,5.891,0.308,0,,1,,0.0,
SOAD20155,Lyndrassia,No,Recreation,Earth,7.114,,0.0,1969.0,,0.0591,567.28077,,,0.0,0.0,Low,Not Rated,,0.0836,35.9,560.4,3.3,7.114,,1,,1,,0.0,
SOAD20315,Lyndrassia,No,Flood Risk Reduction,Earth,9.07,0.217,20649.0,2004.0,,0.09456,844.26293,Uncontrolled,01/11/2004,5.0,,Low,Not Rated,,0.0538,10.0,9.0,,9.07,0.217,0,20649.0,0,9.935470598389179,0.0,
SOAD00194,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,14.708,0.113,,1953.0,,0.01576,2.66329,Uncontrolled,07/09/2022,,,Low,Not Rated,18/06/2014,0.0601,17.8,19.1,,14.708,0.113,0,,1,,0.0,
SOAD00482,Navaldia,No,Irrigation,Earth,7.242,0.043,,1974.0,,0.0,0.0,,01/04/1974,,,Low,Not Rated,18/06/2014,0.1121,27.6,10.6,10.0,7.242,0.043,0,,1,,0.0,
SOAD00532,Lyndrassia,No,Other,Earth,10.491,,0.0,,,0.0394,207.73662,,,0.0,39.15,Low,Not Rated,,0.095,29.0,100.5,,10.491,,1,,1,,0.0,
SOAD00588,Navaldia,No,Recreation,Earth,5.441,0.192,4732.0,1979.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0906,30.6,13.8,8.8,5.441,0.192,0,4732.0,0,8.462314529906248,0.0,
SOAD00999,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.065,0.177,14800.0,1999.0,,0.0394,1451.49305,Uncontrolled,01/11/1999,0.0,,Low,Not Rated,,0.0974,11.9,17.7,,10.065,0.177,0,14800.0,0,9.60245002503719,0.0,
SOAD01069,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.035,0.1,19083.0,1970.0,,0.01773,2.66329,Uncontrolled,05/12/2001,1.0,4.71,Low,,,0.0868,21.1,892.9,,13.035,0.1,0,19083.0,0,9.856605566635997,0.0,
SOAD01429,Lyndrassia,No,Recreation,Earth,6.778,,0.0,1955.0,,0.06107,1275.71591,,,0.0,0.0,Low,Not Rated,,0.0769,31.3,216.8,5.6,6.778,,1,,1,,0.0,
SOAD01589,Lyndrassia,No,Recreation,Earth,10.372,,0.0,1977.0,,0.04334,332.91125,,,0.0,0.0,Low,Not Rated,,0.0897,46.4,435.8,6.0,10.372,,1,,1,,0.0,
SOAD02034,Navaldia,Yes,Other,Earth,5.215,0.0,,1972.0,,0.0,0.0,,28/06/1972,,21.82,Low,Not Rated,18/06/2014,0.0869,36.0,121.0,,5.215,,1,,1,,0.0,
SOAD02295,Flumevale,Yes,Fish and Wildlife Pond,Earth,5.325,0.2,15557.0,1948.0,,0.11032,13.31645,,01/08/1988,0.0,35.06,Low,Fair,06/10/2022,0.094,44.4,192.4,,5.325,0.2,0,15557.0,0,9.652330254766719,0.0,
SOAD02429,Lyndrassia,No,Recreation,Earth,9.149,,0.0,,,0.04728,335.57454,,,0.0,0.0,Low,Not Rated,,0.0831,37.5,479.8,4.0,9.149,,1,,1,,0.0,
SOAD02449,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.551,0.167,,1947.0,,,,,,,32.63,Low,,,0.0644,16.1,182.6,,7.551,0.167,0,,1,,0.0,
SOAD03228,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.692,0.423,,1961.0,,0.0,0.0,,29/05/2009,,,Low,Not Rated,18/06/2014,0.0689,13.0,10.9,,4.692,0.423,0,,1,,0.0,
SOAD03406,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.763,0.067,,1960.0,,,18.64303,Uncontrolled,,,0.0,Low,,,0.0826,17.5,820.3,,7.763,0.067,0,,1,,0.0,
SOAD03808,Navaldia,Yes,Unknow,Earth,6.001,0.133,,1965.0,,0.08668,0.0,Uncontrolled,27/11/2019,2.0,,High,Poor,19/07/2016,0.1238,31.5,732.1,,6.001,0.133,0,,1,,0.0,
SOAD03908,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.18,0.017,,1930.0,,,,,,,35.22,Low,,,0.1103,16.3,227.7,,4.18,0.017,0,,1,,0.0,
SOAD03966,Lyndrassia,No,Flood Risk Reduction,Earth,11.262,0.13,20254.0,2008.0,,0.03546,239.6961,Uncontrolled,,0.0,,Low,Not Rated,,0.1078,25.8,6.3,,11.262,0.13,0,20254.0,0,9.91615695563679,0.0,
SOAD04477,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.047,0.1,,1963.0,,,2.66329,,,,20.08,Low,,,0.1029,14.9,291.6,,5.047,0.1,0,,1,,0.0,
SOAD04641,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.386,0.025,,1952.0,,,,,,,15.58,Low,,,0.0779,11.2,387.9,,10.386,0.025,0,,1,,0.0,
SOAD04813,Navaldia,Yes,Water Supply,Earth,3.463,0.19,,1915.0,,0.12411,0.0,,,,,Low,Not Rated,18/06/2014,0.1329,27.1,16.2,71.2,3.463,0.19,0,,1,,0.0,
SOAD04834,Lyndrassia,No,Recreation,Earth,8.511,,0.0,1960.0,,0.05319,767.02752,,,0.0,26.84,Low,Not Rated,,0.1159,13.3,104.2,9.0,8.511,,1,,1,,0.0,
SOAD05381,Lyndrassia,No,Recreation,Earth,6.954,,0.0,1951.0,,0.0591,3057.45692,,29/03/1979,0.0,26.02,High,Not Rated,,0.1221,39.3,466.4,2.9,6.954,,1,,1,,0.0,
SOAD05398,Lyndrassia,No,Flood Risk Reduction,Earth,10.966,0.133,16685.0,1988.0,,0.09653,3286.49986,Uncontrolled,,0.0,,Low,Not Rated,,0.0989,12.7,10.5,,10.966,0.133,0,16685.0,0,9.72232532346202,0.0,
SOAD05427,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.201,0.083,,1941.0,,,,,,,57.34,Low,,,0.1032,6.4,95.3,,5.201,0.083,0,,1,,0.0,
SOAD06291,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.014,0.157,,1948.0,,,,,,,51.55,Low,,,0.0998,13.1,140.4,,8.014,0.157,0,,1,,0.0,
SOAD06542,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.496,0.2,,1950.0,,,,,,,17.09,Low,,,0.1115,17.3,302.3,,3.496,0.2,0,,1,,0.0,
SOAD06772,Navaldia,No,Recreation,Earth,8.217,0.223,,1961.0,,0.06895,0.0,,20/06/1973,,,Low,Not Rated,18/06/2014,0.1163,23.6,19.4,6.5,8.217,0.223,0,,1,,0.0,
SOAD06791,Navaldia,No,Recreation,Earth,5.408,0.16,9891.0,1952.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1186,16.7,12.3,8.7,5.408,0.16,0,9891.0,0,9.199481628641307,0.0,
SOAD07003,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.052,,0.0,1946.0,,0.08471,633.86302,,,0.0,6.36,Low,Not Rated,,0.0618,28.7,263.3,,5.052,,1,,1,,0.0,
SOAD07382,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.067,0.05,,1955.0,,,18.64303,,,,40.79,Low,,,0.0936,11.4,149.8,,5.067,0.05,0,,1,,0.0,
SOAD07761,Navaldia,Yes,Water Supply,Earth,11.815,0.202,,1903.0,,0.03349,2.66329,,11/06/2020,1.0,,High,Poor,,0.1221,44.4,913.2,33.5,11.815,0.202,0,,1,,0.0,
SOAD07845,Lyndrassia,No,Recreation,Earth,10.65,,0.0,1977.0,,0.04334,439.44285,,,0.0,19.65,Low,Not Rated,,0.0667,26.3,420.2,5.8,10.65,,1,,1,,0.0,
SOAD08485,Lyndrassia,No,Flood Risk Reduction,Earth,12.127,0.147,19630.0,2001.0,,0.04925,6562.34656,Uncontrolled,25/09/2001,0.0,,Low,Not Rated,,0.1098,18.8,13.5,,12.127,0.147,0,19630.0,0,9.884865228408033,0.0,
SOAD08498,Navaldia,No,Unknow,Earth,5.467,0.15,,1960.0,,0.07683,0.0,,,,,Low,Not Rated,18/06/2014,0.1072,36.4,4.8,,5.467,0.15,0,,1,,0.0,
SOAD09172,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.924,,0.0,1961.0,,0.05122,836.27306,,,0.0,4.81,Low,Not Rated,,0.1042,6.3,868.9,,8.924,,1,,1,,0.0,
SOAD09223,Flumevale,Yes,Water Supply,Earth,14.584,0.125,36800.0,,,0.05122,5.32658,,01/03/2022,1.0,3.02,Significant,Satisfactory,01/09/2017,0.1134,25.2,202.1,30.1,14.584,0.125,0,36800.0,0,10.513280297700861,0.0,
SOAD09352,Flumevale,Yes,Water Supply,Earth,21.908,0.098,24000.0,1950.0,,0.04334,5.32658,,09/02/2023,1.0,,Significant,Poor,29/06/2023,0.1569,19.2,134.6,6.7,21.908,0.098,0,24000.0,0,10.085850775128717,0.0,
SOAD09709,Lyndrassia,No,Recreation,Earth,10.821,,0.0,1968.0,,0.04334,1086.62232,,,0.0,0.0,High,Not Rated,,0.1459,44.3,226.2,8.1,10.821,,1,,1,,0.0,
SOAD09785,Lyndrassia,No,Flood Risk Reduction,Earth,8.382,0.162,8590.0,1987.0,,0.05122,2002.79408,Uncontrolled,,0.0,,Low,Not Rated,,0.1149,5.3,8.2,,8.382,0.162,0,8590.0,0,9.058470422638056,0.0,
SOAD09971,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.418,0.133,,1962.0,,,,,,,82.41,Low,,,0.0808,15.3,200.9,,6.418,0.133,0,,1,,0.0,
SOAD10420,Lyndrassia,No,Flood Risk Reduction,Earth,11.525,0.133,20625.0,2007.0,,0.15366,1475.46266,Uncontrolled,,0.0,,Low,Not Rated,,0.0832,36.6,15.8,,11.525,0.133,0,20625.0,0,9.934307694876015,0.0,
SOAD10738,Navaldia,No,Unknow,Earth,7.377,0.125,,1964.0,,0.05122,0.0,,,,,Low,Not Rated,18/06/2014,0.0958,25.6,23.0,,7.377,0.125,0,,1,,0.0,
SOAD10973,Navaldia,No,Recreation,Earth,7.606,0.241,10667.0,1979.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1013,8.4,9.2,5.9,7.606,0.241,0,10667.0,0,9.275003885301905,0.0,
SOAD11705,Lyndrassia,No,Recreation,Earth,9.652,,0.0,1952.0,,0.04137,516.67826,,,0.0,1.61,High,Not Rated,,0.0908,46.5,512.4,6.4,9.652,,1,,1,,0.0,
SOAD11754,Lyndrassia,Yes,Recreation,Earth,14.707,0.12,41000.0,1990.0,1992,0.04137,0.0,Uncontrolled,05/05/2022,2.0,9.67,High,Satisfactory,21/12/2007,0.0702,27.0,468.4,4.6,14.707,0.12,0,41000.0,0,10.62135173563291,1.0,1992.0
SOAD11844,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.153,0.22,,1930.0,,,,,,,27.19,Low,,,0.0816,16.5,410.8,,5.153,0.22,0,,1,,0.0,
SOAD12013,Lyndrassia,No,Flood Risk Reduction,Earth,11.568,0.14,23469.0,2004.0,,0.05122,1326.31842,Uncontrolled,15/12/2004,5.0,,Low,Not Rated,,0.0291,14.9,18.7,,11.568,0.14,0,23469.0,0,10.063478288845069,0.0,
SOAD12204,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.063,0.333,,1977.0,,0.05122,0.0,,,,,Low,Not Rated,18/06/2014,0.1103,25.5,8.4,,5.063,0.333,0,,1,,0.0,
SOAD12682,Flumevale,Yes,Irrigation,Earth,4.28,0.173,0.0,1951.0,,0.08077,0.0,,29/08/1979,6.0,5.02,Low,Fair,14/06/2019,0.0587,23.2,389.0,37.6,4.28,0.173,0,,1,,0.0,
SOAD13074,Flumevale,Yes,Other,Earth,11.311,0.06,,1978.0,2008,0.0591,13.31645,Uncontrolled,18/08/2021,2.0,50.49,Significant,Satisfactory,18/08/2021,0.1074,8.0,114.0,,11.311,0.06,0,,1,,1.0,2008.0
SOAD13123,Navaldia,No,Other,Earth,8.715,0.143,,1970.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1081,9.3,14.9,,8.715,0.143,0,,1,,0.0,
SOAD13987,Lyndrassia,Yes,Irrigation,Earth,3.88,0.267,,1958.0,,0.11426,,,,,9.38,Low,,,0.0736,40.7,327.8,38.1,3.88,0.267,0,,1,,0.0,
SOAD14062,Flumevale,Yes,Irrigation,Earth,9.961,0.157,13362.0,1926.0,2002,0.05122,7.98987,Uncontrolled,27/08/2021,2.0,7.77,Significant,Fair,27/08/2021,0.1243,15.1,327.9,26.8,9.961,0.157,0,13362.0,0,9.500244972781061,1.0,2002.0
SOAD14175,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.474,0.133,,1975.0,,,,,,,64.31,Low,,,0.1252,8.5,186.3,,5.474,0.133,0,,1,,0.0,
