ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD05377,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.437,0.083,,1949.0,,,,,,,1.59,Low,,,0.0944,17.6,710.8,
SOAD05630,Lyndrassia,Yes,Recreation,Earth,23.019,0.123,0.0,1982.0,,0.02561,0.0,Uncontrolled,18/01/2023,2.0,5.05,High,Satisfactory,21/12/2007,0.0777,33.9,316.0,7.6
SOAD05802,Navaldia,No,Water Supply,Earth,7.863,0.15,,1968.0,,0.03743,0.0,,,,33.08,Low,Not Rated,18/06/2014,0.1024,20.8,231.2,5.1
SOAD05969,Lyndrassia,No,Flood Risk Reduction,Earth,9.147,0.127,11040.0,1991.0,,0.04334,1038.6831,Uncontrolled,,0.0,,Low,Not Rated,,0.1061,45.2,12.1,
SOAD06033,Flumevale,Yes,Water Supply,Earth,8.489,0.08,7000.0,1869.0,,0.09061999999999999,2.66329,,25/04/2022,1.0,,Significant,Satisfactory,01/09/2017,0.1261,12.0,432.2,64.2
SOAD06764,Navaldia,Yes,Flood Risk Reduction,Earth,9.102,0.158,,1973.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0803,26.2,20.4,
SOAD06828,Navaldia,Yes,Water Supply,Buttress,3.554,0.04,,1936.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0823,34.4,16.9,47.1
SOAD06899,Lyndrassia,Yes,Flood Risk Reduction,Earth,2.404,0.22,,1969.0,,,15.97974,,,,90.43,Low,,,0.0891,18.1,172.6,
SOAD06958,Flumevale,No,Hydroelectric,Concrete,9.378,0.1,,1989.0,,0.05319,,,27/09/2022,3.0,,Low,Satisfactory,29/09/2023,0.0737,32.6,6.4,
SOAD07090,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.719,0.2,,1966.0,,0.02561,0.0,,20/02/2009,,,Low,Not Rated,18/06/2014,0.0646,16.6,22.9,
SOAD07344,Lyndrassia,Yes,Other,Earth,3.431,0.013,,1977.0,,,66.58225,,,,21.37,Low,,,0.0655,7.8,136.2,
SOAD07416,Lyndrassia,No,Flood Risk Reduction,Earth,10.907,0.208,23870.0,2005.0,,0.03743,1099.93877,Uncontrolled,,0.0,,Low,Not Rated,,0.0667,32.1,15.5,
SOAD07650,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.115,0.033,,1960.0,,,,,,,51.23,Low,,,0.1141,16.2,110.7,
SOAD07762,Navaldia,No,Recreation,Earth,4.012,0.0,,,,0.0,0.0,,11/05/1979,,,Low,Not Rated,18/06/2014,0.1188,12.5,13.0,5.8
SOAD07873,Lyndrassia,No,Flood Risk Reduction,Earth,8.735,0.147,17855.0,1994.0,,0.05122,1174.51089,Uncontrolled,,0.0,,Low,Not Rated,,0.1024,35.0,16.4,
SOAD08004,Navaldia,Yes,,Earth,5.038,0.25,,1963.0,,0.05319,0.0,,,,,Low,Not Rated,18/06/2014,0.0961,24.3,22.1,
SOAD08323,Navaldia,No,Recreation,Earth,5.826,0.137,0.0,1971.0,,0.08274,0.0,Uncontrolled,,,4.86,Low,Not Available,,0.0866,33.4,488.3,5.1
SOAD08428,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.146,0.042,,1952.0,,,,,,,34.19,Low,,,0.1072,20.7,236.2,
SOAD08569,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.263,0.05,,1956.0,,,,,,,11.41,Low,,,0.1176,8.0,321.6,
SOAD08649,Navaldia,No,Irrigation,Earth,12.336,0.094,,1956.0,,0.0,0.0,,19/04/1973,,,Low,Not Rated,18/06/2014,0.0996,5.6,7.8,6.9
SOAD08702,Navaldia,Yes,Recreation,Earth,3.231,0.09,,1941.0,,0.10244,7.98987,,19/10/2020,5.0,,Low,Not Rated,,0.089,38.2,8.4,9.0
SOAD08784,Navaldia,Yes,Irrigation,Earth,4.395,0.0,,,,0.0788,0.0,Uncontrolled,08/11/2001,,,Low,Not Rated,18/06/2014,0.0832,30.9,18.4,34.3
SOAD08802,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.517,0.025,,1961.0,,,,,,,74.43,Low,,,0.0626,18.1,57.3,
SOAD09354,Navaldia,Yes,Flood Risk Reduction,Earth,5.193,0.193,,1982.0,,,21.30632,,09/07/2018,5.0,,Low,Not Rated,,0.0489,20.8,13.9,
SOAD09551,Lyndrassia,No,Grade Stabilization,Earth,8.796,0.113,8639.0,1998.0,,0.0591,1118.5818,Uncontrolled,,0.0,,Low,Not Rated,,0.0896,39.2,7.6,
SOAD09763,Navaldia,No,Recreation,Earth,5.419,1.1,,1963.0,,0.0,0.0,,30/11/1978,,,Low,Not Rated,18/06/2014,0.1153,46.0,13.0,5.1
SOAD09838,Lyndrassia,No,Flood Risk Reduction,Earth,11.029,0.173,27223.0,1995.0,,0.09653,4343.82599,Uncontrolled,,0.0,,Low,Not Rated,,0.0905,27.8,19.1,
SOAD09988,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.609,0.025,,1944.0,,,,,,,16.85,Low,,,0.0773,14.1,270.5,
SOAD10801,Flumevale,Yes,Irrigation,Earth,4.205,0.267,15171.0,1915.0,,0.0394,0.0,,,6.0,11.6,Low,Satisfactory,04/06/2015,0.0361,22.0,157.8,4.3
SOAD10903,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.739,0.154,,1950.0,,,,,,,61.4,Low,,,0.0745,7.7,95.8,
SOAD11066,Navaldia,No,Irrigation,Earth,6.085,0.237,,1972.0,,0.0,0.0,,04/09/1975,,,Low,Not Rated,18/06/2014,0.1111,29.4,11.8,16.2
SOAD11329,Lyndrassia,No,Flood Risk Reduction,Earth,8.967,0.153,13560.0,1988.0,,0.03546,1960.1814399999998,Uncontrolled,,0.0,,Low,Not Rated,,0.086,16.7,6.1,
SOAD11524,Lyndrassia,No,Grade Stabilization,Earth,8.286,0.123,8551.0,2010.0,,0.00788,2066.71304,Uncontrolled,,0.0,4.75,Low,Not Rated,,0.0777,44.3,597.1,
SOAD11543,Navaldia,No,Recreation,Earth,6.046,0.133,,1910.0,,0.0,0.0,,19/07/1973,,,Low,Not Rated,18/06/2014,0.1218,29.8,16.4,4.1
SOAD11819,Navaldia,Yes,Flood Risk Reduction,Earth,6.022,0.192,,1990.0,,0.02561,7.98987,,20/07/2017,2.0,,Significant,Fair,,0.1458,30.2,52.0,
SOAD11905,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.255,0.042,,1958.0,,,,,,,48.99,Low,,,0.089,11.5,124.5,
SOAD11934,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.019,0.047,,1953.0,,,,,,,40.53,Low,,,0.0707,5.8,126.7,
SOAD12127,Navaldia,No,,Earth,7.092,0.135,,,,0.05516,,,,,,Significant,Not Rated,07/08/2017,0.1223,6.1,175.1,
SOAD12224,Lyndrassia,Yes,Other,Earth,2.904,2.604,,1954.0,,,,,,,31.33,Low,,,0.0845,12.8,154.1,
SOAD12377,Lyndrassia,No,Recreation,Earth,3.652,,0.0,1929.0,,0.10441,85.22528,,,0.0,0.0,Low,Not Rated,,0.1194,8.4,392.4,8.1
SOAD12447,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.564,0.155,11008.0,1979.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0969,30.8,12.7,
SOAD12633,Navaldia,Yes,Recreation,Earth,3.576,,,,,0.12017,15.97974,,05/07/2018,5.0,,Low,Fair,,0.0579,42.6,20.0,7.7
SOAD12786,Lyndrassia,No,Flood Risk Reduction,Earth,11.746,0.113,15805.0,1989.0,,0.1576,1518.0753,Uncontrolled,,0.0,,Low,Not Rated,,0.1103,42.7,7.9,
SOAD13092,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.526,0.133,15000.0,1977.0,,0.03152,956.1211099999999,Uncontrolled,,0.0,,Low,Not Rated,,0.1165,33.1,16.6,
SOAD13303,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.488,0.083,,1940.0,,,,,,,29.49,Low,,,0.1082,8.8,288.3,
SOAD14087,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.505,0.1,,1953.0,,,,,,,8.35,Low,,,0.082,21.2,211.8,
SOAD14539,Flumevale,Yes,Irrigation,Earth,4.052,0.138,0.0,,,0.06501,29.29619,,28/10/1987,0.0,16.38,Low,Satisfactory,01/11/2011,0.0695,42.8,373.0,24.2
SOAD14587,Lyndrassia,Yes,Irrigation,Earth,3.521,0.033,,1935.0,,,,,,,95.16,Low,,,0.1151,8.5,152.9,42.4
SOAD14673,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.422,0.15,,1950.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1045,36.4,13.9,
SOAD14674,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.105,0.25,,1955.0,,,,,,,68.95,Low,,,0.0785,10.2,175.1,
SOAD14693,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.74,0.138,12550.0,1961.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1086,39.2,20.1,
SOAD14783,Flumevale,Yes,Flood Risk Reduction,Earth,10.09,0.162,15130.0,1960.0,,0.06107,7.98987,,11/04/2018,3.0,39.39,Low,Satisfactory,20/03/2007,0.073,47.6,233.3,
SOAD14940,Navaldia,No,,Earth,4.49,0.253,,1940.0,,0.05319,0.0,,,,,Low,Not Rated,18/06/2014,0.1201,6.1,16.8,
SOAD15246,Flumevale,Yes,Water Supply,Earth,7.172,0.143,0.0,1984.0,,0.05319,7.98987,Uncontrolled,16/11/2022,2.0,6.4,Significant,Fair,16/11/2022,0.1434,43.3,429.1,16.8
SOAD15334,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.002,0.067,,1944.0,,,,,,,81.05,Low,,,0.1095,16.6,47.9,
SOAD15443,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.85,0.2,13000.0,1958.0,,0.04137,468.73904,Uncontrolled,,0.0,,Low,Not Rated,,0.1051,46.6,14.9,
SOAD15585,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.371,0.183,,1975.0,,0.0,996.07046,,,,,Low,Not Rated,18/06/2014,0.0632,24.7,8.9,
SOAD15663,Lyndrassia,No,Recreation,Earth,10.752,,0.0,1989.0,,0.03152,665.8225,,,0.0,11.09,High,Not Rated,,0.1191,41.1,131.3,5.9
SOAD16568,Flumevale,Yes,Irrigation,Earth,4.159,0.5,35981.0,1906.0,,0.09456,0.0,,25/09/2013,6.0,8.0,Low,Satisfactory,04/06/2015,0.0345,7.4,298.4,34.2
SOAD17321,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.928,0.1,,1968.0,,,5.32658,Uncontrolled,,,15.48,Low,,,0.0645,11.2,380.4,
SOAD17362,Lyndrassia,No,Irrigation,Earth,8.368,0.233,19200.0,1974.0,,0.04925,2239.82689,Uncontrolled,,0.0,,Low,Not Rated,,0.0871,7.6,12.6,4.1
SOAD17386,Lyndrassia,Yes,Irrigation,Earth,7.188,0.525,,1952.0,,,167.78727,,,,30.96,Low,,,0.0933,23.4,175.6,18.4
SOAD17588,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.774,0.1,,1975.0,,,,,,,9.56,Low,,,0.1042,20.4,282.3,
SOAD17595,Lyndrassia,No,Grade Stabilization,Earth,9.443,0.153,6500.0,1977.0,,0.00788,729.74146,Uncontrolled,,0.0,,Low,Not Rated,,0.0649,41.4,13.1,
SOAD17720,Lyndrassia,No,Flood Risk Reduction,Earth,9.129,0.163,15000.0,2004.0,,0.04925,1563.35123,Uncontrolled,01/11/2004,1.0,,Low,Not Rated,,0.0911,45.0,10.3,
SOAD17748,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.108,0.075,,1960.0,,,,,,,18.39,Low,,,0.0936,6.4,241.4,
SOAD18858,Lyndrassia,Yes,Irrigation,Earth,7.22,0.067,,1969.0,,,2.66329,,,,11.58,Low,,,0.1044,12.1,228.9,27.7
SOAD19109,Navaldia,No,,Earth,5.182,0.134,,1957.0,,0.08471,0.0,Uncontrolled,24/06/2011,,15.88,Significant,Not Rated,24/06/2016,0.1581,7.8,342.0,
SOAD19788,Navaldia,Yes,Flood Risk Reduction,Earth,6.721,0.207,,1970.0,,0.03349,0.0,,,,,Low,Not Rated,18/06/2014,0.1066,13.8,7.0,
SOAD19838,Navaldia,No,,Earth,7.71,0.105,6588.0,1967.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1102,14.6,6.5,
SOAD20113,Navaldia,No,Recreation,Earth,8.738,0.165,9043.0,1980.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0937,24.9,17.4,5.3
SOAD20633,Lyndrassia,Yes,Water Supply,Earth,10.639,0.22,0.0,,,0.07683,0.0,,,0.0,16.19,Significant,,,0.141,16.3,303.9,36.8
SOAD00129,Lyndrassia,No,Flood Risk Reduction,Earth,10.942,0.18,17929.0,1999.0,,0.00788,1299.68552,Uncontrolled,06/08/1999,1.0,,Low,Not Rated,,0.0867,9.1,13.0,
SOAD00576,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.349,0.017,,1948.0,,,,,,,63.02,Low,,,0.0603,8.0,76.8,
SOAD00953,Navaldia,Yes,Recreation,Earth,12.715,0.114,,1962.0,,0.02561,2.66329,,26/06/2017,2.0,,Significant,Fair,,0.1393,11.1,210.1,6.9
SOAD01085,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.521,0.083,,1952.0,,,,,,,0.0,Low,,,0.0598,23.3,773.4,
SOAD01448,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.345,0.102,,1962.0,,0.0,2793.79121,,,,,Low,Not Rated,18/06/2014,0.1121,37.4,21.7,
SOAD01484,Navaldia,Yes,Flood Risk Reduction,Earth,11.741,0.177,,1972.0,,0.0,2.66329,,,,,Low,Not Rated,18/06/2014,0.1059,46.3,18.2,
SOAD01769,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.574,,0.0,1950.0,,0.03349,761.70094,,,0.0,3.23,Low,Not Rated,,0.1234,23.6,146.8,
SOAD02018,Lyndrassia,No,Flood Risk Reduction,Earth,10.952,0.163,18622.0,2005.0,,0.08274,1563.35123,Uncontrolled,,0.0,,Low,Not Rated,,0.0811,16.7,17.6,
SOAD02099,Navaldia,No,Water Supply,Earth,7.606,0.15,,1962.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1037,39.0,9.4,29.4
SOAD02111,Flumevale,Yes,Water Supply,Earth,7.925,0.243,29910.0,1952.0,,0.04137,0.0,,10/06/2020,6.0,23.11,Low,Not Rated,,0.0989,18.8,215.7,11.8
SOAD02271,Lyndrassia,No,Irrigation,Earth,10.206,,0.0,1977.0,,0.03349,111.85818,,,0.0,27.27,Low,Not Rated,,0.0549,17.6,170.1,7.5
SOAD02438,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.229,0.033,,1947.0,,,,,,,47.4,Low,,,0.0891,9.2,195.7,
SOAD02659,Navaldia,No,Irrigation,Earth,4.699,0.183,,1973.0,,0.0,0.0,,21/05/1979,,,Low,Not Rated,18/06/2014,0.1001,10.3,17.1,25.6
SOAD02763,Navaldia,No,Irrigation,Earth,7.903,0.117,,1968.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0901,15.8,16.4,9.1
SOAD03029,Flumevale,Yes,Irrigation,Earth,5.892,0.673,26596.0,1912.0,2001,0.04137,0.0,Uncontrolled,23/09/2013,6.0,0.0,Low,Not Rated,,0.0532,20.0,668.9,42.5
SOAD03156,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.517,0.067,,1962.0,,,,,,,20.18,Low,,,0.0695,17.6,185.7,
SOAD03200,Flumevale,Yes,Irrigation,Concrete,4.804,0.02,250.0,1910.0,,0.05122,0.0,,22/09/2017,0.0,16.72,Low,Fair,12/09/2008,0.0756,7.5,265.1,39.9
SOAD03518,Lyndrassia,No,Recreation,Earth,6.675,,0.0,1968.0,,0.05122,729.74146,,,0.0,0.0,Low,Not Rated,,0.0742,13.8,639.1,5.2
SOAD03683,Lyndrassia,No,Grade Stabilization,Earth,9.261,0.133,11452.0,1966.0,,0.03546,1201.14379,Uncontrolled,,0.0,,Low,Not Rated,,0.0879,39.5,16.9,
SOAD03967,Flumevale,Yes,Water Supply,Earth,13.772,0.16,23500.0,1956.0,,0.04334,0.0,,11/08/2022,1.0,,Significant,Satisfactory,01/09/2017,0.1364,11.1,382.7,60.3
SOAD04132,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.856,0.05,,1930.0,,,,,,,93.84,Low,,,0.0897,11.3,102.5,
SOAD04264,Lyndrassia,No,Recreation,Earth,10.415,,0.0,,,0.03349,2833.7405599999997,,,0.0,0.0,High,Not Rated,,0.1636,41.9,756.8,6.4
SOAD04405,Lyndrassia,Yes,Irrigation,Earth,5.08,0.067,,1946.0,,,,,,,53.64,Low,,,0.1233,7.7,131.7,8.4
SOAD04463,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.115,0.042,,1955.0,,,,,,,12.66,Low,,,0.0989,6.3,351.1,
SOAD05056,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.276,,0.0,1948.0,,0.03546,308.94164,,,0.0,0.0,Low,Not Rated,,0.068,25.6,486.7,
SOAD05088,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.072,0.15,,1950.0,,,,,,,27.26,Low,,,0.1101,10.5,457.4,
SOAD05262,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.433,0.067,,1920.0,,,,,,,82.64,Low,,,0.07,15.5,81.9,
SOAD05599,Navaldia,No,Other,Earth,5.674,0.233,,1970.0,,0.0,0.0,,19/09/1972,,,Low,Not Rated,18/06/2014,0.075,39.3,17.6,
SOAD05968,Navaldia,Yes,,,8.781,0.083,,,,0.03349,2.66329,Uncontrolled,16/06/2022,5.0,,High,Fair,19/12/2022,0.0923,10.7,752.0,
SOAD05981,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.252,0.1,,1952.0,,,,,,,26.03,Low,,,0.0717,15.8,161.3,
SOAD06232,Lyndrassia,No,Flood Risk Reduction,Earth,10.547,0.117,15844.0,2006.0,,0.18517999999999998,1182.50076,Controlled,,0.0,,Low,Not Rated,,0.0967,26.5,6.0,
SOAD06859,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.327,0.05,,1954.0,,,7.98987,Uncontrolled,,,63.8,Low,,,0.1145,7.5,200.2,
SOAD06975,Lyndrassia,No,Flood Risk Reduction,Earth,10.877,0.171,18656.0,1998.0,,0.04137,1502.09556,Uncontrolled,01/11/1999,1.0,,Low,Not Rated,,0.0801,31.6,7.8,
SOAD07131,Lyndrassia,No,Flood Risk Reduction,Earth,8.921,0.193,16100.0,2006.0,,0.02561,748.38449,Uncontrolled,,0.0,,Low,Not Rated,,0.0986,16.5,8.3,
SOAD07280,Navaldia,No,Water Supply,Earth,4.099,0.167,,1970.0,,0.10638,0.0,,,,,Low,Not Rated,18/06/2014,0.1091,25.7,23.4,45.8
SOAD07395,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.781,0.759,,1992.0,,0.0,5.32658,,,,,Low,Not Rated,18/06/2014,0.0893,8.3,18.5,
SOAD07453,Navaldia,No,Recreation,Earth,7.337,0.146,,1949.0,,0.0,0.0,,29/06/1983,,,Low,Not Rated,18/06/2014,0.1072,24.5,9.5,7.4
SOAD07524,Lyndrassia,No,Recreation,Earth,6.914,,0.0,1966.0,,0.05319,591.25038,,,0.0,6.39,Low,Not Rated,,0.1263,17.9,320.9,3.4
SOAD07790,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.329,0.05,,1953.0,,,5.32658,Uncontrolled,,,12.44,Low,,,0.076,20.5,299.2,
SOAD07898,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.735,0.132,,1966.0,,,,,,,28.29,Low,,,0.0919,5.9,417.6,
SOAD08372,Navaldia,No,,Earth,5.813,0.375,1125.0,,,0.045309999999999996,,Uncontrolled,,,,Low,Not Rated,13/08/2018,0.1216,22.7,18.7,
SOAD09413,Lyndrassia,No,Flood Risk Reduction,Earth,9.878,0.157,17024.0,1990.0,,0.00788,2647.3102599999997,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.1035,24.4,20.6,
SOAD09485,Navaldia,No,Recreation,Earth,9.878,0.13,,1980.0,,0.0,1278.3791999999999,,,,9.75,Low,Not Rated,18/06/2014,0.0828,35.9,176.1,5.0
SOAD09716,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.345,0.143,,1889.0,,,,,,,128.38,Low,,,0.0943,15.7,169.8,
SOAD09839,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.69,0.09,,1972.0,,,10.65316,Uncontrolled,,,66.39,Low,,,0.1258,17.5,55.4,
SOAD10304,Lyndrassia,No,Flood Risk Reduction,Earth,8.022,,0.0,1972.0,,0.04137,247.68597,,,0.0,46.07,Low,Not Rated,,0.096,38.1,60.9,
SOAD10352,Lyndrassia,Yes,Irrigation,Earth,8.575,0.075,,1961.0,,,95.87844,,,,0.0,Low,,,0.1074,21.2,708.0,1.2
SOAD10583,Lyndrassia,No,Recreation,Earth,7.148,,0.0,1970.0,,0.05319,5816.62536,,02/08/1978,0.0,6.71,High,Not Rated,,0.1134,18.2,104.7,5.0
SOAD11056,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.841,0.2,,1953.0,,,,,,,0.0,Low,,,0.1033,15.0,593.2,
SOAD11453,Lyndrassia,No,Flood Risk Reduction,Earth,7.371,0.15,13890.0,1989.0,,0.04334,1294.35894,Uncontrolled,,0.0,,Low,Not Rated,,0.1107,40.8,20.8,
SOAD12099,Lyndrassia,Yes,Irrigation,Earth,5.242,0.25,,1958.0,,,117.18476,,,,11.6,Low,,,0.0622,23.6,240.4,16.6
SOAD12613,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.055,0.105,0.0,1954.0,,0.0,0.0,,,0.0,0.0,Low,Not Available,,0.1205,43.0,133.9,
SOAD13411,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.681,0.133,,1973.0,,,13.31645,Uncontrolled,,,7.71,Low,,,0.0756,11.9,367.8,
SOAD13941,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.212,0.167,,1945.0,,,,,,,11.2,Low,,,0.0736,8.5,450.2,
SOAD14025,Flumevale,Yes,Recreation,Earth,3.663,0.533,0.0,1984.0,,0.05122,0.0,Uncontrolled,08/09/2022,2.0,1.69,Significant,Fair,08/09/2022,0.1233,25.8,711.1,7.1
SOAD14590,Lyndrassia,No,Grade Stabilization,Earth,10.964,0.14,10319.0,1999.0,,0.04925,1558.02465,Uncontrolled,01/11/2000,1.0,,Low,Not Rated,,0.1075,36.6,15.8,
SOAD14743,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.008,0.05,,1964.0,,,,,,,13.21,Low,,,0.0718,14.2,183.2,
SOAD14862,Lyndrassia,No,Recreation,Earth,6.065,,0.0,1950.0,,0.06107,332.91125,,13/09/1978,0.0,0.0,High,Not Rated,,0.139,25.5,108.6,4.2
SOAD15157,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.365,0.1,,1945.0,,,,,,,39.29,Low,,,0.1107,20.8,180.2,
SOAD16412,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.006,0.05,,1960.0,,0.07289,0.0,,,,,Low,Not Rated,18/06/2014,0.0758,20.3,9.2,
SOAD16872,Flumevale,Yes,Other,Earth,8.745,0.06,16600.0,1951.0,,0.07486,2.66329,,14/03/2022,0.5,,Low,Satisfactory,01/09/2017,0.0605,41.7,21.1,
SOAD17443,Lyndrassia,No,Flood Risk Reduction,Earth,7.57,0.143,8592.0,1987.0,,0.05713,2644.64697,Uncontrolled,,0.0,,Low,Not Rated,,0.0844,22.2,13.7,
SOAD17775,Lyndrassia,Yes,Water Supply,Earth,7.166,0.093,,1935.0,,,,,,,0.0,Low,,,0.0771,11.0,551.0,6.8
SOAD17973,Navaldia,Yes,Irrigation,Earth,9.591,0.1,,,,0.0,10.65316,,22/11/1974,,32.84,Low,Not Rated,18/06/2014,0.1064,24.3,191.5,15.7
SOAD18085,Lyndrassia,No,Flood Risk Reduction,Gravity,2.84,0.148,3000.0,,,0.18714999999999998,10.65316,,05/09/2018,5.0,,Low,Not Rated,,0.0476,37.5,19.6,
SOAD18136,Flumevale,Yes,Fish and Wildlife Pond,Earth,3.689,0.233,4194.0,1885.0,,0.06501,0.0,Uncontrolled,17/03/2010,6.0,1.66,Low,Not Rated,,0.0599,10.2,647.2,
SOAD18879,Navaldia,Yes,Other,Earth,2.516,0.893,,1968.0,,0.0,0.0,,,,16.28,Low,Not Rated,18/06/2014,0.0923,13.2,453.5,
SOAD19083,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.306,0.1,,1958.0,,,,,,,31.1,Low,,,0.0768,22.9,235.1,
SOAD19430,Navaldia,No,Water Supply,Earth,5.247,0.17,,1963.0,,0.06895,0.0,,,,41.58,Low,Not Rated,18/06/2014,0.0698,12.3,228.4,59.9
SOAD19480,Navaldia,Yes,Recreation,Concrete,2.931,0.033,,1904.0,2006O,0.1379,0.0,,16/05/2006,,,Low,Not Rated,18/06/2014,0.0904,29.1,20.5,5.5
SOAD19944,Lyndrassia,Yes,Recreation,Earth,6.738,0.067,,1953.0,,,15.97974,Uncontrolled,,,70.09,Low,,,0.0742,15.8,182.3,5.6
SOAD20224,Lyndrassia,No,Fish and Wildlife Pond,Earth,7.366,0.093,15000.0,1975.0,,0.06501,2053.39659,Uncontrolled,,0.0,,Low,Not Rated,,0.1169,25.8,17.4,
SOAD20803,Flumevale,Yes,Irrigation,Earth,3.929,0.078,3634.0,1911.0,,0.0,0.0,,11/05/1992,6.0,30.36,Low,Satisfactory,12/09/2022,0.0508,32.4,67.5,22.9
SOAD00260,Lyndrassia,No,Flood Risk Reduction,Earth,10.445,0.18,15623.0,1994.0,,0.20094,892.20215,Uncontrolled,15/06/1999,1.0,,Low,Not Rated,,0.0674,14.6,9.9,
SOAD00399,Lyndrassia,No,Grade Stabilization,Earth,10.989,0.083,20864.0,1983.0,,0.01773,498.03523,Uncontrolled,,0.0,,Low,Not Rated,,0.1103,28.5,4.9,
SOAD00499,Lyndrassia,No,Recreation,Earth,10.339,,0.0,1962.0,,0.03349,442.10614,,,0.0,27.21,High,Not Rated,,0.1151,20.7,147.8,7.9
